id,time,xloc,yloc,lane,length,width,type
411,1.29987,4328.4,279.3,2,4.8,5.7,small-vehicle
5,1.3332,4327.8,279.0,2,4.5,5.1,small-vehicle
5,1.36653,4325.7,278.1,2,4.5,5.1,small-vehicle
5,1.39986,4326.0,278.4,2,4.5,5.4,small-vehicle
5,1.43319,4323.6,277.5,2,4.5,5.1,small-vehicle
5,1.46652,4324.8,278.4,2,4.5,5.4,small-vehicle
5,1.49985,4323.0,277.8,2,4.8,5.1,small-vehicle
5,1.53318,4321.8,277.5,2,5.1,5.4,small-vehicle
5,1.56651,4320.3,276.9,2,4.8,5.4,small-vehicle
5,1.59984,4319.7,276.9,2,4.8,5.4,small-vehicle
5,1.63317,4318.5,276.6,2,4.8,5.4,small-vehicle
6,1.6665,4318.2,276.3,2,4.8,5.4,small-vehicle
6,1.69983,4317.6,276.3,2,4.5,5.1,small-vehicle
6,1.73316,4317.0,276.6,2,5.1,5.4,small-vehicle
6,1.76649,4315.5,276.3,2,4.8,5.4,small-vehicle
6,1.79982,4315.2,276.0,2,4.8,5.4,small-vehicle
6,1.83315,4314.0,275.4,2,4.8,5.7,small-vehicle
6,1.86648,4313.4,275.4,2,4.8,5.7,small-vehicle
6,1.89981,4315.5,276.6,2,4.8,5.7,small-vehicle
6,1.93314,4310.7,274.5,2,4.5,5.4,small-vehicle
6,1.96647,4309.5,274.2,2,4.8,5.1,small-vehicle
7,1.9998,4308.6,273.9,2,4.8,5.4,small-vehicle
7,2.03313,4307.1,273.6,2,4.5,5.1,small-vehicle
7,2.06646,4304.7,272.7,2,5.1,5.4,small-vehicle
7,2.09979,4304.7,273.3,2,4.8,5.4,small-vehicle
7,2.13312,4304.1,272.7,2,5.1,6.0,small-vehicle
7,2.16645,4308.0,274.8,2,5.1,5.4,small-vehicle
7,2.19978,4301.4,272.4,2,5.4,5.7,small-vehicle
7,2.23311,4303.5,273.3,2,5.7,6.0,small-vehicle
7,2.26644,4300.5,271.8,2,5.1,5.7,small-vehicle
7,2.29977,4303.2,273.6,2,4.8,5.4,small-vehicle
8,2.3331,4298.4,271.5,2,4.8,5.4,small-vehicle
8,2.36643,4301.7,273.3,2,4.8,5.1,small-vehicle
8,2.39976,4299.9,272.7,2,4.8,5.7,small-vehicle
8,2.43309,4293.6,270.0,0,4.8,5.7,small-vehicle
8,2.46642,4296.0,271.5,2,5.1,5.7,small-vehicle
8,2.49975,4298.4,272.7,2,5.1,5.7,small-vehicle
8,2.53308,4293.6,270.3,0,5.1,5.4,small-vehicle
8,2.56641,4291.5,269.7,0,4.8,5.4,small-vehicle
8,2.59974,4289.7,269.4,0,4.8,5.7,small-vehicle
8,2.63307,4291.8,270.6,2,4.8,5.4,small-vehicle
9,2.6664,4290.3,270.3,2,4.8,5.4,small-vehicle
9,2.69973,4295.4,272.1,2,5.1,5.7,small-vehicle
9,2.73306,4288.2,269.4,2,5.1,5.7,small-vehicle
9,2.76639,4287.3,269.7,2,5.4,6.0,small-vehicle
9,2.79972,4292.1,271.5,2,5.1,5.4,small-vehicle
